naive_Aom,Fixed SPEC Aom_6,Generic SPEC Aom_6,NormalizedCut Aom_6,Lasso Aom_6,WKMeans Aom_6
-0.48251999999999995,-0.51108,-0.48251999999999995,-0.51108,-0.46108000000000005,-0.5037
-0.4198799999999999,-0.44812,-0.34298,-0.45942000000000005,-0.48123999999999995,-0.38678
-0.19,-0.19,-0.19,-0.19,-0.19,-0.19
-0.72576,-0.75152,-0.7630199999999999,-0.70538,-0.62204,-0.64324
-0.22008,-0.21427999999999997,-0.32132,-0.08176000000000001,-0.16914,-0.14833999999999997
-0.56,-0.74,-0.56,-0.74,-0.68,-0.64
-0.37578,-0.35494,-0.29386,-0.36196,-0.37828,-0.33916
-0.96214,-0.79334,-0.96,-1.0,-1.0,-0.63666
-0.0032199999999999998,-0.016120000000000002,-0.036019999999999996,-0.0032199999999999998,-0.0032199999999999998,-0.009659999999999998
-0.26516,-0.22490000000000002,-0.07452,-0.29036,-0.28998,-0.17864
-0.48514,-0.51868,-0.48382,-0.5021,-0.4732,-0.5123
-0.59938,-0.5922600000000001,-0.57562,-0.5942200000000001,-0.59182,-0.59478
-0.73912,-0.52934,-0.86578,-0.51928,-0.8308,-0.86534
-0.9416800000000001,-0.9127199999999999,-0.6889,-0.93736,-0.9568200000000001,-0.8897999999999999
-0.01538,-0.01538,-0.01538,-0.01538,-0.01538,-0.01538
-0.29575999999999997,-0.39977999999999997,-0.3285,-0.32792,-0.26048,-0.29388000000000003
-0.535,-0.495,-0.45499999999999996,-0.495,-0.475,-0.5549999999999999
