Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6
-0.5714,-0.5357,-0.5357,-0.5357
-0.4688,-0.4844,-0.4531,-0.4688
-0.25,-0.25,-0.25,-0.25
-0.6607,-0.5714,-0.5893,-0.5893
-0.225,-0.275,-0.25,-0.225
-0.8,-0.8,-0.8,-0.8
-0.3562,-0.3288,-0.3527,-0.3185
-0.9333,-0.8333,-1.0,-1.0
-0.0,-0.0323,-0.0,-0.0161
-0.2769,-0.2154,-0.2462,-0.2923
-0.4574,-0.4681,-0.4787,-0.4681
-0.5719,-0.5985,-0.5816,-0.5877
-0.4815,-0.7407,-0.4444,-0.8889
-0.9293,-0.9611,-0.9589,-0.9632
-0.0,-0.0,-0.0,-0.0
-0.2353,-0.4118,-0.2353,-0.4118
-0.5,-0.6,-0.5,-0.5
